en_name	sci_name	pl_name	notes
Siberian Accentor	Prunella montanella	płochacz syberyjski	Rare/Accidental
Radde's Accentor	Prunella ocularis	plochacz pstry	Rare/Accidental
Black-throated Accentor	Prunella atrogularis	płochacz czarnogardły	Rare/Accidental
Dunnock	Prunella modularis	pokrzywnica	
House Sparrow	Passer domesticus	wróbel	
Italian Sparrow	Passer italiae	wróbel apeniński	Vulnerable
Spanish Sparrow	Passer hispaniolensis	wróbel śródziemnomorski	
Dead Sea Sparrow	Passer moabiticus	wróbel palestyński	Rare/Accidental
Cape Verde Sparrow	Passer iagoensis	wróbel rudogrzbiety	Uncertain origin
Eurasian Tree Sparrow	Passer montanus	mazurek	
Rock Sparrow	Petronia petronia	wróbel skalny	
Pale Rockfinch	Carpospiza brachydactyla	wróbel krótkopalcowy	Rare/Accidental
White-winged Snowfinch	Montifringilla nivalis	śnieżka	
Gray Wagtail	Motacilla cinerea	pliszka górska	
Western Yellow Wagtail	Motacilla flava	pliszka żółta	
Eastern Yellow Wagtail	Motacilla tschutschensis	pliszka syberyjska	
Citrine Wagtail	Motacilla citreola	pliszka cytrynowa	
White Wagtail	Motacilla alba	pliszka siwa	
Richard's Pipit	Anthus richardi	świergotek szponiasty	
Paddyfield Pipit	Anthus rufulus	świergotek rdzawy	Rare/Accidental
Long-billed Pipit	Anthus similis	świergotek długodzioby	Rare/Accidental
Blyth's Pipit	Anthus godlewskii	świergotek stepowy	Rare/Accidental
Tawny Pipit	Anthus campestris	świergotek polny	
Berthelot's Pipit	Anthus berthelotii	świergotek kanaryjski	
Meadow Pipit	Anthus pratensis	świergotek łąkowy	
Tree Pipit	Anthus trivialis	świergotek drzewny	
Olive-backed Pipit	Anthus hodgsoni	świergotek tajgowy	Rare/Accidental
Pechora Pipit	Anthus gustavi	świergotek tundrowy	Rare/Accidental
Red-throated Pipit	Anthus cervinus	świergotek rdzawogardły	
Water Pipit	Anthus spinoletta	siwerniak	
Rock Pipit	Anthus petrosus	świergotek nadmorski	
Siberian Pipit	Anthus japonicus	świergotek syberyjski	Rare/Accidental
American Pipit	Anthus rubescens	świergotek bagienny	
Common Chaffinch	Fringilla coelebs	zięba (zwyczajna)	
Azores Chaffinch	Fringilla moreletti		
Madeira Chaffinch	Fringilla maderensis		
Canary Islands Chaffinch	Fringilla canariensis	zięba modrogrzbieta	
African Chaffinch	Fringilla spodiogenys	zięba zielonogrzbieta	Rare/Accidental
Tenerife Blue Chaffinch	Fringilla teydea	zięba modra	Near-threatened
Gran Canaria Blue Chaffinch	Fringilla polatzeki	zięba czarnoczelna	Endangered
Brambling	Fringilla montifringilla	jer	
Evening Grosbeak	Coccothraustes vespertinus	grubodziób białoskrzydły	Rare/Accidental Vulnerable
Hawfinch	Coccothraustes coccothraustes	grubodziób	
Common Rosefinch	Carpodacus erythrinus	dziwonia	
Great Rosefinch	Carpodacus rubicilla	dziwonia duża	Rare/Accidental
Pallas's Rosefinch	Carpodacus roseus	dziwonia syberyjska	Rare/Accidental
Pine Grosbeak	Pinicola enucleator	łuskowiec	
Azores Bullfinch	Pyrrhula murina	gil azorski	Vulnerable
Eurasian Bullfinch	Pyrrhula pyrrhula	gil	
Trumpeter Finch	Bucanetes githagineus	gilak pustynny	
Mongolian Finch	Bucanetes mongolicus	gilak mongolski	
Gray-crowned Rosy-Finch	Leucosticte tephrocotis	góralka siwogłowa	
House Finch	Haemorhous mexicanus	dziwuszka ogrodowa	Introduced species
Desert Finch	Rhodospiza obsoleta	czarnodziobek	Rare/Accidental
European Greenfinch	Chloris chloris	dzwoniec	
Twite	Linaria flavirostris	rzepołuch	
Eurasian Linnet	Linaria cannabina	makolągwa	
Redpoll	Acanthis flammea	czeczotka	
Parrot Crossbill	Loxia pytyopsittacus	krzyżodziób sosnowy	
Scottish Crossbill	Loxia scotica	krzyżodziób szkocki	
Red Crossbill	Loxia curvirostra	krzyżodziób świerkowy	
White-winged Crossbill	Loxia leucoptera	krzyżodziób modrzewiowy	
European Goldfinch	Carduelis carduelis	szczygieł	
Gray-crowned Goldfinch	Carduelis caniceps	szczygieł szarogłowy	Rare/Accidental
Citril Finch	Carduelis citrinella	osetnik	
Corsican Finch	Carduelis corsicana	osetnik korsykański	
European Serin	Serinus serinus	kulczyk	
Island Canary	Serinus canaria	kanarek	
Fire-fronted Serin	Serinus pusillus	kulczyk królewski	Rare/Accidental
Eurasian Siskin	Spinus spinus	czyż	
Pine Siskin	Spinus pinus	czyż sosnowy	Rare/Accidental
Lapland Longspur	Calcarius lapponicus	poświerka	
Snow Bunting	Plectrophenax nivalis	śnieguła	
Black-headed Bunting	Emberiza melanocephala	trznadel czarnogłowy	
Red-headed Bunting	Emberiza bruniceps	trznadel rudogłowy	Uncertain origin
Corn Bunting	Emberiza calandra	potrzeszcz	
Chestnut-eared Bunting	Emberiza fucata	trznadel rdzawouchy	Rare/Accidental
Rock Bunting	Emberiza cia	głuszek	
Godlewski's Bunting	Emberiza godlewskii	trznadel Godlewskiego	Uncertain origin
Meadow Bunting	Emberiza cioides	trznadel łąkowy	Uncertain origin
Cirl Bunting	Emberiza cirlus	cierlik	
Yellowhammer	Emberiza citrinella	trznadel	
Pine Bunting	Emberiza leucocephalos	trznadel białogłowy	Rare/Accidental
Gray-necked Bunting	Emberiza buchanani	trznadel skalny	Rare/Accidental
Cinereous Bunting	Emberiza cineracea	trznadel popielaty	Near-threatened
Ortolan Bunting	Emberiza hortulana	ortolan	
Cretzschmar's Bunting	Emberiza caesia	trznadel modrogłowy	
House Bunting	Emberiza sahari	trznadel saharyjski	Rare/Accidental
Striolated Bunting	Emberiza striolata	trznadel smużkowany	
Pallas's Bunting	Emberiza pallasi	potrzos popielaty	Rare/Accidental
Reed Bunting	Emberiza schoeniclus	potrzos	
Yellow-breasted Bunting	Emberiza aureola	trznadel złotawy	Rare/Accidental Critically endangered
Little Bunting	Emberiza pusilla	trznadelek	
Rustic Bunting	Emberiza rustica	trznadel czubaty	Vulnerable
Black-faced Bunting	Emberiza spodocephala	trznadel szarogłowy	Rare/Accidental
Chestnut Bunting	Emberiza rutila	trznadel rudy	Rare/Accidental
Yellow-browed Bunting	Emberiza chrysophrys	trznadel złotobrewy	Rare/Accidental
Lark Sparrow	Chondestes grammacus	trawiarczyk	Rare/Accidental
American Tree Sparrow	Spizelloides arborea	pasówka rdzawołbista	Rare/Accidental
Fox Sparrow	Passerella iliaca	pasówka rudosterna	Rare/Accidental
Dark-eyed Junco	Junco hyemalis	junko	
White-crowned Sparrow	Zonotrichia leucophrys	pasówka białobrewa	Rare/Accidental
White-throated Sparrow	Zonotrichia albicollis	pasówka białogardła	Rare/Accidental
Savannah Sparrow	Passerculus sandwichensis	bagiennik żółtobrewy	Rare/Accidental
Song Sparrow	Melospiza melodia	szarobrewka śpiewna	Rare/Accidental
Lincoln's Sparrow	Melospiza lincolnii	szarobrewka płowa	Rare/Accidental
Eastern Towhee	Pipilo erythrophthalmus	pipil rudoboczny	Rare/Accidental
Yellow-breasted Chat	Icteria virens	słowikówka	Rare/Accidental
Yellow-headed Blackbird	Xanthocephalus xanthocephalus	żółtogłowiec	Rare/Accidental
Bobolink	Dolichonyx oryzivorus	ryżojad	Rare/Accidental
Baltimore Oriole	Icterus galbula	kacyk północny	Rare/Accidental
Red-winged Blackbird	Agelaius phoeniceus	epoletnik krasnoskrzydły	Rare/Accidental
Brown-headed Cowbird	Molothrus ater	starzyk brunatnogłowy	Rare/Accidental
Rusty Blackbird	Euphagus carolinus	kacykarzyk karoliński	Rare/Accidental Vulnerable
Brewer's Blackbird	Euphagus cyanocephalus	kacykarzyk purpurowy	Uncertain origin
Common Grackle	Quiscalus quiscula	wilgowron mniejszy	Rare/Accidental Near-threatened
Boat-tailed Grackle	Quiscalus major	wilgowron żaglosterny	Uncertain origin
Ovenbird	Seiurus aurocapilla	lasówka złotogłowa	Rare/Accidental
Louisiana Waterthrush	Parkesia motacilla	lasówka potokowa	Rare/Accidental
Northern Waterthrush	Parkesia noveboracensis	lasówka nadwodna	Rare/Accidental
Golden-winged Warbler	Vermivora chrysoptera	lasówka złotoskrzydła	Rare/Accidental Near-threatened
Blue-winged Warbler	Vermivora cyanoptera	lasówka niebieskoskrzydła	Rare/Accidental
Black-and-white Warbler	Mniotilta varia	pstroszka	Rare/Accidental
Prothonotary Warbler	Protonotaria citrea	bursztynka	Rare/Accidental
Tennessee Warbler	Leiothlypis peregrina	lasówka oliwkowa	Rare/Accidental
Orange-crowned Warbler	Leiothlypis celata	lasówka zielonkawa	Rare/Accidental
Nashville Warbler	Leiothlypis ruficapilla	lasówka rudogłowa	Rare/Accidental
Connecticut Warbler	Oporornis agilis	cytrynka obrączkowa	Rare/Accidental
Mourning Warbler	Geothlypis philadelphia	cytrynka czarnopierśna	Rare/Accidental
Common Yellowthroat	Geothlypis trichas	cytrynka czarnolica	Rare/Accidental
Hooded Warbler	Setophaga citrina	lasówka żółtoczelna	Rare/Accidental
American Redstart	Setophaga ruticilla	lasówka szkarłatna	Rare/Accidental
Cape May Warbler	Setophaga tigrina	lasówka rdzawolica	Rare/Accidental
Cerulean Warbler	Setophaga cerulea	lasówka niebieska	Rare/Accidental Near-threatened
Northern Parula	Setophaga americana	lasówka obrożna	Rare/Accidental
Magnolia Warbler	Setophaga magnolia	lasówka magnoliowa	Rare/Accidental
Bay-breasted Warbler	Setophaga castanea	lasówka kasztanowata	Rare/Accidental
Blackburnian Warbler	Setophaga fusca	lasówka rudogardła	Rare/Accidental
Yellow Warbler	Setophaga petechia	lasówka złotawa	Rare/Accidental
Chestnut-sided Warbler	Setophaga pensylvanica	lasówka rdzawoboczna	Rare/Accidental
Blackpoll Warbler	Setophaga striata	lasówka czarnogłowa	Rare/Accidental Near-threatened
Black-throated Blue Warbler	Setophaga caerulescens	lasówka granatowa	Rare/Accidental
Palm Warbler	Setophaga palmarum	lasówka kasztanowogłowa	Rare/Accidental
Pine Warbler	Setophaga pinus	lasówka sosnowa	Rare/Accidental
Yellow-rumped Warbler	Setophaga coronata	lasówka pstra	Rare/Accidental
Yellow-throated Warbler	Setophaga dominica	lasówka szarogrzbieta	Rare/Accidental
Prairie Warbler	Setophaga discolor	lasówka czarnowąsa	Rare/Accidental
Black-throated Green Warbler	Setophaga virens	lasówka czarnogardła	Rare/Accidental
Pale-legged Warbler	Myiothlypis signata	koronówka jasnonoga	Rare/Accidental
Canada Warbler	Cardellina canadensis	wilsonka kanadyjska	Rare/Accidental
Wilson's Warbler	Cardellina pusilla	wilsonka mała	Rare/Accidental
Summer Tanager	Piranga rubra	piranga pąsowa	Rare/Accidental
Scarlet Tanager	Piranga olivacea	piranga szkarłatna	Rare/Accidental
Rose-breasted Grosbeak	Pheucticus ludovicianus	łuszcz strojny	Rare/Accidental
Blue Grosbeak	Passerina caerulea	łuszczyk błękitny	Rare/Accidental
Indigo Bunting	Passerina cyanea	łuszczyk indygowy	Rare/Accidental
Dickcissel	Spiza americana	łuszczyk czarnogardły	Rare/Accidental
